Field=Quantity~Integer~Quantity~65|Field=Description~String~Description~137|Field=Value~String~Value~110|Field=Designator~String~Designator~137|Field=Footprint~String~Footprint~137|Field=PN~String~PN~110|Field=FARNELL~String~FARNELL~110|Field=SP~String~SP~110|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MDAP.PrjPcb|ReportField=ProjectFullPath~D:\Work\mdap\Altium\MDAP\MDAP.PrjPcb|ReportField=Title~Bill of Materials For Project [MDAP.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~152|ReportField=ReportTime~03:51:18 p.m.|ReportField=ReportDate~30/11/2014|ReportField=ReportDateTime~30/11/2014 03:51:18 p.m.|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~30/11/2014|ReportField=CurrentTime~12:26:53 p.m.|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Work\mdap\Altium\MDAP\TOP.SchDoc|ReportField=DocumentName~TOP.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~30/11/2014|ReportField=Organization~|ReportField=ProjectName~MDAP.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~MDAP.PrjPcb|ReportField=DataSourceFullPath~D:\Work\mdap\Altium\MDAP\MDAP.PrjPcb
2|Antenna single ended IIFA, 2450 MHz||A200, A300|antenna_IIFA_1|||
6|Capacitor|220pF|C100, C101, C200, C201, C302, C303|0402||2426879|
18|Capacitor|100nF|C102, C103, C104, C105, C107, C202, C203, C204, C205, C207, C304, C305, C306, C307, C318, C320, C400, C406|0402||2309011|
5|Capacitor|2u2|C106, C108, C206, C208, C308|C0805||1759416|
4|Capacitor|100pF|C109, C112, C210, C211|0402||2426878|
2|Capacitor|1.5pF|C110, C115|0402||1828869|
6|Capacitor|1pF|C111, C209, C212, C310, C311, C313|0402||1611944|
1|Capacitor|3.3pF|C113|0402||2210780|
1|Capacitor|N.M.|C114|0402|||
7|Capacitor|15pF|C116, C118, C215, C217, C314, C316, C402|0402||2218840|
6|Capacitor|12pF|C117, C119, C216, C218, C315, C317|0402||2210762|
1|Capacitor|1.8nF|C213|0402||1865457|
1|Capacitor|1.5nF|C214|0402||2210797|
2|Capacitor|47pF|C300, C301|0402||1758959|
2|Capacitor|18pF|C309, C312|0402||1758947|
3|Capacitor|1uF|C319, C403, C407|C0805, 0805, 0805||2426951|
1|Capacitor|10nF|C401|0402||1650807|
2|Capacitor|4.7uF|C404, C405|0805||1759414|
4|Typical RED, GREEN, YELLOW, AMBER GaAs LED|Rojo|D1, D3, D5, D400|led_0805||2099236|SP-C2286
4|Typical RED, GREEN, YELLOW, AMBER GaAs LED|Verde|D2, D4, D6, D401|led_0805||2290331|SP-C2292
1|Generic Antenna||E100|Johanson_0868AT43A0020|0868AT43A0020E|1885493|
1|USB 2.0, Right Angle, SMT, B Type, Receptacle, 5 Position, Black||J1|USB_C10418|||
4|Inductor|102, 102, 102, 1nH|L100, L200, L300, L302|0402-A||1669624|
2|Inductor|18nH|L101, L107|0402-A||2103101|
5|Inductor|12nH|L102, L103, L104, L106, L108|0402-A||2103098|
1|Inductor|1.8nH|L105|0402-A||1669627|
